block_end_step,block_valid,block_evidence,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,adaptation_active,adaptation_remaining
26999,1,0.00000000,0.95433066,95.43306648,0.00015969,0.00766316,-0.00750347,1,0,0,0,0,1,0,0,0
27099,1,0.00429553,0.95384483,95.38448310,0.00098686,0.00762948,-0.00664262,1,0,0,0,0,1,0,0,0
27199,1,0.02812757,0.96705443,96.70544307,0.00641500,0.00783446,-0.00141946,1,0,0,0,0,1,0,0,0
27299,1,0.01870221,0.98629761,98.62976068,0.00887244,0.00794314,0.00092930,1,0,0,0,0,1,0,0,0
27399,1,0.02184851,0.96466237,96.46623710,0.01146765,0.00808219,0.00338546,1,0,0,0,0,1,0,0,0
27499,1,0.01170352,0.98508541,98.50854102,0.01151483,0.00811841,0.00339642,1,0,0,0,0,1,0,0,0
27599,1,0.01471607,0.96425179,96.42517855,0.01215508,0.00818438,0.00397069,1,0,0,0,0,1,0,0,0
27699,1,0.03592946,0.98347856,98.34785630,0.01690995,0.00846183,0.00844812,1,0,0,0,0,1,0,0,0
27799,1,0.03875211,0.96585519,96.58551942,0.02127838,0.00876474,0.01251365,1,0,0,0,0,1,0,0,0
27899,1,0.01830143,0.97662652,97.66265215,0.02068299,0.00886010,0.01182289,1,0,0,0,0,1,0,0,0
27999,1,0.02625380,0.91214232,91.21423206,0.02179715,0.00903404,0.01276311,1,0,0,0,0,1,0,0,0
28099,1,0.00120194,0.90476379,90.47637935,0.01767811,0.00895572,0.00872239,1,0,0,0,0,1,0,0,0
28199,1,0.00228197,0.98395223,98.39522332,0.01459888,0.00888898,0.00570990,1,0,0,0,0,1,0,0,0
28299,1,0.00240016,0.98596032,98.59603249,0.01215914,0.00882409,0.00333504,1,0,0,0,0,1,0,0,0
28399,1,0.00316641,0.97878861,97.87886059,0.01036059,0.00876752,0.00159307,1,0,0,0,0,1,0,0,0
28499,1,0.00047497,0.97365798,97.36579820,0.00838347,0.00868459,-0.00030112,1,0,0,0,0,1,0,0,0
28599,1,0.00108894,0.98375671,98.37567080,0.00692456,0.00860864,-0.00168407,1,0,0,0,0,1,0,0,0
28699,1,0.00043147,0.96024315,96.02431490,0.00562594,0.00852686,-0.00290092,1,0,0,0,0,1,0,0,0
28799,1,0.00038839,0.96039579,96.03957949,0.00457843,0.00844548,-0.00386705,1,0,0,0,0,1,0,0,0
28899,1,0.00000000,0.97155935,97.15593525,0.00366275,0.00836102,-0.00469828,1,0,0,0,0,1,0,0,0
28999,1,0.00066861,0.99631749,99.63174885,0.00306392,0.00828410,-0.00522018,1,0,0,0,0,1,0,0,0
29099,1,0.00000000,0.94362856,94.36285619,0.00245113,0.00820126,-0.00575012,1,0,0,0,0,1,0,0,0
29199,1,0.00000000,0.98889688,98.88968837,0.00196091,0.00811925,-0.00615834,1,0,0,0,0,1,0,0,0
29299,1,0.00000000,0.98843300,98.84329963,0.00156873,0.00803805,-0.00646933,1,0,0,0,0,1,0,0,0
29399,1,0.00000000,0.98800584,98.80058423,0.00125498,0.00795767,-0.00670269,1,0,0,0,0,1,0,0,0
29499,1,0.00000000,0.97511083,97.51108330,0.00100398,0.00787810,-0.00687411,1,0,0,0,0,1,0,0,0
29599,1,0.00000000,0.98394274,98.39427449,0.00080319,0.00779932,-0.00699613,1,0,0,0,0,1,0,0,0
29699,1,0.00000000,0.99669776,99.66977574,0.00064255,0.00772132,-0.00707877,1,0,0,0,0,1,0,0,0
29799,1,0.00000000,0.99579663,99.57966301,0.00051404,0.00764411,-0.00713007,1,0,0,0,0,1,0,0,0
29899,1,0.00000000,0.99590396,99.59039573,0.00041123,0.00756767,-0.00715644,1,0,0,0,0,1,0,0,0
29999,1,0.00000000,0.99096554,99.09655420,0.00032899,0.00749199,-0.00716301,1,0,0,0,0,1,0,0,0
30099,1,0.00099734,0.92674751,92.67475115,0.00046266,0.00742704,-0.00696439,1,0,0,0,0,1,0,0,0
30199,1,0.00000000,0.97776597,97.77659711,0.00037013,0.00735277,-0.00698265,1,0,0,0,0,1,0,0,0
30299,1,0.00000000,0.99375768,99.37576776,0.00029610,0.00727925,-0.00698315,1,0,0,0,0,1,0,0,0
30399,1,0.00000000,0.99589068,99.58906793,0.00023688,0.00720645,-0.00696957,1,0,0,0,0,1,0,0,0
30499,1,0.00000000,0.99438438,99.43843832,0.00018950,0.00713439,-0.00694489,1,0,0,0,0,1,0,0,0
30599,1,0.00000000,0.99549040,99.54903961,0.00015160,0.00706305,-0.00691144,1,0,0,0,0,1,0,0,0
30699,1,0.00000000,0.99494579,99.49457859,0.00012128,0.00699242,-0.00687113,1,0,0,0,0,1,0,0,0
30799,1,0.00000000,0.99070787,99.07078669,0.00009703,0.00692249,-0.00682546,1,0,0,0,0,1,0,0,0
30899,1,0.00034030,0.98437565,98.43756531,0.00014568,0.00685667,-0.00671099,1,0,0,0,0,1,0,0,0
30999,1,0.00000000,0.98870954,98.87095385,0.00011654,0.00678810,-0.00667156,1,0,0,0,0,1,0,0,0
31099,1,0.17997769,0.91564162,91.56416214,0.03608877,0.00852000,0.02756878,1,0,0,0,0,1,0,0,0
31199,1,0.00000000,0.99345187,99.34518708,0.02887102,0.00843480,0.02043622,1,0,0,0,0,1,0,0,0
31299,1,0.00000000,0.98348472,98.34847189,0.02309682,0.00835045,0.01474637,1,0,0,0,0,1,0,0,0
31399,1,0.00000000,0.99839414,99.83941443,0.01847745,0.00826695,0.01021051,1,0,0,0,0,1,0,0,0
31499,1,0.00000000,0.99473413,99.47341258,0.01478196,0.00818428,0.00659769,1,0,0,0,0,1,0,0,0
31599,1,0.00000000,0.98412123,98.41212262,0.01182557,0.00810243,0.00372314,1,0,0,0,0,1,0,0,0
31699,1,0.00002189,0.97492498,97.49249837,0.00946483,0.00802163,0.00144321,1,0,0,0,0,1,0,0,0
31799,1,0.00000000,0.98307329,98.30732943,0.00757187,0.00794141,-0.00036955,1,0,0,0,0,1,0,0,0
31899,1,0.00111421,0.98045911,98.04591126,0.00628034,0.00787314,-0.00159280,1,0,0,0,0,1,0,0,0
31999,1,0.00000000,0.98283752,98.28375172,0.00502427,0.00779441,-0.00277014,1,0,0,0,0,1,0,0,0
32099,1,0.00000000,0.93649492,93.64949208,0.00401942,0.00771646,-0.00369705,1,0,0,0,0,1,0,0,0
32199,1,0.00000000,0.98501343,98.50134289,0.00321553,0.00763930,-0.00442377,1,0,0,0,0,1,0,0,0
32299,1,0.00020487,0.98418934,98.41893398,0.00261340,0.00756496,-0.00495156,1,0,0,0,0,1,0,0,0
32399,1,0.00016106,0.98729327,98.72932683,0.00212293,0.00749092,-0.00536798,1,0,0,0,0,1,0,0,0
32499,1,0.00026195,0.98745183,98.74518260,0.00175074,0.00741863,-0.00566789,1,0,0,0,0,1,0,0,0
32599,1,0.00072883,0.99694953,99.69495291,0.00154635,0.00735173,-0.00580537,1,0,0,0,0,1,0,0,0
