step=1252791, D_t=50.694031, c_t=3.081361, e_P=0.223293, e_R=0.252058, e_P_bar=1.981684, e_R_bar=9.872233
step=1254637, D_t=25.827741, c_t=3.158105, e_P=0.717221, e_R=0.228083, e_P_bar=5.855441, e_R_bar=4.167648
step=1256591, D_t=193.949422, c_t=4.562734, e_P=0.352679, e_R=0.548630, e_P_bar=4.130702, e_R_bar=19.257106
step=1259352, D_t=25.013900, c_t=3.184552, e_P=0.250567, e_R=0.230602, e_P_bar=2.375680, e_R_bar=6.662128
step=1262523, D_t=16.234443, c_t=3.050899, e_P=0.257630, e_R=0.181942, e_P_bar=2.680297, e_R_bar=5.028409
step=1264108, D_t=34.897522, c_t=3.141185, e_P=0.220379, e_R=0.280348, e_P_bar=1.632502, e_R_bar=8.193289
step=1269047, D_t=19.409874, c_t=3.032774, e_P=0.455883, e_R=0.026315, e_P_bar=6.230546, e_R_bar=0.006933
step=1270816, D_t=29.921253, c_t=3.200402, e_P=0.434196, e_R=0.140328, e_P_bar=5.684708, e_R_bar=5.246580
step=1273994, D_t=86.998229, c_t=3.453256, e_P=0.890778, e_R=0.044327, e_P_bar=13.178878, e_R_bar=0.560025
step=1275459, D_t=188.031311, c_t=4.707266, e_P=0.464544, e_R=0.413835, e_P_bar=6.574365, e_R_bar=18.243913
step=1276861, D_t=44.432979, c_t=3.338222, e_P=0.248337, e_R=0.229725, e_P_bar=2.396270, e_R_bar=9.117228
step=1281501, D_t=83.073620, c_t=3.021057, e_P=0.477180, e_R=0.267765, e_P_bar=6.828281, e_R_bar=10.932604
step=1283680, D_t=40.626059, c_t=3.260203, e_P=0.702196, e_R=0.051931, e_P_bar=8.965366, e_R_bar=0.935055
step=1288766, D_t=61.944347, c_t=3.180017, e_P=0.323722, e_R=0.206942, e_P_bar=4.715002, e_R_bar=10.082532
step=1302098, D_t=13.677023, c_t=3.010862, e_P=0.236960, e_R=0.184088, e_P_bar=1.845838, e_R_bar=4.893560
step=1306562, D_t=54.867737, c_t=3.351493, e_P=0.209787, e_R=0.265252, e_P_bar=2.249176, e_R_bar=10.231162
step=1312491, D_t=202.708180, c_t=3.640116, e_P=1.153451, e_R=0.194809, e_P_bar=18.700930, e_R_bar=7.462680
step=1314893, D_t=38.991061, c_t=3.304452, e_P=0.415821, e_R=0.146313, e_P_bar=6.172460, e_R_bar=6.315287
step=1318344, D_t=191.117288, c_t=3.521651, e_P=1.086544, e_R=0.153200, e_P_bar=18.717005, e_R_bar=5.648743
step=1320411, D_t=58.500206, c_t=3.371945, e_P=0.312198, e_R=0.305838, e_P_bar=3.350552, e_R_bar=10.284659
step=1321952, D_t=33.678230, c_t=3.014817, e_P=0.136349, e_R=0.185994, e_P_bar=0.972218, e_R_bar=8.149310
step=1327014, D_t=84.509881, c_t=3.771257, e_P=0.532897, e_R=0.326466, e_P_bar=8.035564, e_R_bar=10.220052
step=1331912, D_t=37.305672, c_t=3.291828, e_P=0.464304, e_R=0.093982, e_P_bar=7.962155, e_R_bar=3.348946
step=1340796, D_t=14.199247, c_t=3.008106, e_P=0.176773, e_R=0.186086, e_P_bar=1.009484, e_R_bar=5.232536
step=1343987, D_t=20.382157, c_t=3.113303, e_P=0.064620, e_R=0.188680, e_P_bar=-0.401529, e_R_bar=6.384694
step=1349050, D_t=500.166853, c_t=7.452821, e_P=0.805209, e_R=0.626276, e_P_bar=12.452847, e_R_bar=29.073361
step=1352337, D_t=31.690265, c_t=3.236103, e_P=0.147923, e_R=0.271518, e_P_bar=0.932954, e_R_bar=7.906335
step=1354095, D_t=230.941176, c_t=3.691988, e_P=0.729225, e_R=0.602911, e_P_bar=9.894210, e_R_bar=19.078442
