step,fast_slow_gap,fast_wins,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,warmup_remaining,predictor_nll
12500,0.97954559,1,-20.64585495,-21.62540054,15.44192123,18.22526741,0.04284708,0.03606829,0,20.51009560
12600,1.34488678,1,-21.21049118,-22.55537796,21.56761932,25.74427986,0.06752287,0.06702159,0,21.43298798
12700,1.63944054,1,-20.18898201,-21.82842255,15.95963573,19.41891861,0.06173458,0.05963040,0,20.11660449
12800,0.21776962,1,-20.05187416,-20.26964378,34.53771973,37.98542023,0.09927016,0.08854373,0,21.84829617
12900,1.54936028,1,-20.34532166,-21.89468193,34.07589722,40.37582397,0.09171268,0.08665884,0,22.28810215
13000,-0.95297623,0,-51.62842941,-50.67545319,1.13232899,1.17747307,0.00349740,0.00340704,0,51.91179504
13100,0.67596245,1,-25.14605713,-25.82201958,6.45323038,7.29072905,0.06890077,0.06854653,0,25.87377214
13200,2.05882072,1,-23.69915962,-25.75798035,9.26198387,8.71088314,0.04100396,0.04151217,0,23.85332251
13300,1.61878586,1,-23.40274048,-25.02152634,22.58682823,20.28119850,0.10542771,0.09167505,0,24.40911436
13400,-4.64019012,0,-24.46092224,-19.82073212,47.28210068,45.58778763,0.19486201,0.15360110,0,31.49771754
13500,-1.54004097,0,-19.61308670,-18.07304573,39.19001770,35.72486877,0.09218191,0.08122297,0,23.98457432
13600,0.57909584,1,-19.92143440,-20.50053024,16.13134956,15.31767464,0.07255317,0.06859025,0,18.45193481
13700,0.26727295,1,-19.69158173,-19.95885468,38.53831482,39.18263626,0.08936130,0.07742962,0,20.63578161
13800,1.59355545,1,-22.09764862,-23.69120407,6.60408592,6.52827787,0.02029719,0.02023854,0,22.30549240
13900,1.72836876,1,-18.27230072,-20.00066948,31.32699585,34.30817795,0.06090499,0.06009219,0,18.32066917
14000,0.23124886,1,-30.50482368,-30.73607254,1.10414088,1.12466443,0.00329168,0.00307677,0,30.67666054
14100,1.17455292,1,-28.39818954,-29.57274246,26.78579903,26.25917625,0.17243613,0.16216832,0,30.75668716
14200,1.60485458,1,-23.77033806,-25.37519264,40.47550583,38.66521454,0.12164322,0.12291486,0,26.51027807
14300,-0.79246521,0,-20.18450546,-19.39204025,31.31938744,33.70029449,0.09378689,0.09056374,0,22.12197367
14400,0.31544495,1,-20.47719765,-20.79264259,25.31842041,26.99306488,0.07083642,0.06969947,0,21.29389763
14500,0.96898460,1,-21.27958488,-22.24856949,17.62068367,20.03948975,0.04878494,0.04407635,0,21.77575684
14600,0.29689026,1,-18.77818298,-19.07507324,16.05821991,18.46408081,0.06937000,0.06352227,0,18.72294998
14700,0.54211998,1,-20.35046196,-20.89258194,9.33974266,10.54090214,0.04699794,0.05125828,0,19.57602882
14800,1.23450089,1,-17.99035645,-19.22485733,9.53826523,10.80605412,0.04258367,0.04168044,0,18.91025352
14900,1.08846283,1,-16.30477905,-17.39324188,20.63857269,26.25311279,0.07198767,0.06821159,0,16.91584015
15000,0.22007751,1,-56.69194031,-56.91201782,1.13419998,1.16803586,0.00303929,0.00298371,0,58.16483116
15100,1.64917946,1,-23.20893860,-24.85811806,21.56059074,23.73287010,0.09932692,0.09815498,0,24.61426544
15200,1.48692894,1,-21.79232597,-23.27925491,6.74228859,6.42748451,0.05320084,0.05444719,0,22.03504848
15300,1.68985748,1,-21.46688271,-23.15674019,11.81813431,9.94194889,0.08502017,0.08502299,0,22.24563599
15400,0.20046616,1,-25.43400955,-25.63447571,10.78046894,7.87894535,0.07695843,0.07300004,0,26.11593819
15500,1.40059280,1,-24.46803284,-25.86862564,13.72042847,9.67662144,0.05513763,0.04965875,0,25.56520557
