step,detector_epoch,phase,transition_surprise,z_score,transition_evidence,valid_local_residual,supported_tables,median_bucket_count,block_completed,block_evidence,block_coverage,num_regions,W_t,log_p_hat,mean_total_var,mean_epistemic_var,predictor_warmup_remaining,residual_calibration_remaining,regime_change,predictor_nll
14400,0,residual_calibration,0.56808174,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.75472832,28.01061249,0.06613144,0,5599,0,nan
14500,0,residual_calibration,0.62348473,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.59787178,21.83163452,0.04663870,0,5499,0,nan
14600,0,residual_calibration,0.38605058,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.28522491,19.03798676,0.07604221,0,5399,0,nan
14700,0,residual_calibration,0.53486210,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-23.17288208,10.75753880,0.05001435,0,5299,0,nan
14800,0,residual_calibration,0.38771808,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-21.94283676,11.16894722,0.04422440,0,5199,0,nan
14900,0,residual_calibration,0.20201631,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-20.87485123,30.57599258,0.07287223,0,5099,0,nan
15000,0,residual_calibration,4.85945892,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-60.51502991,1.16766334,0.00283899,0,4999,0,nan
15100,0,residual_calibration,0.80243611,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-27.31669617,32.42199707,0.08994544,0,4899,0,nan
15200,0,residual_calibration,0.78595364,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.91503906,8.40206528,0.05606908,0,4799,0,nan
15300,0,residual_calibration,0.63843632,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.06856728,14.15323353,0.07817761,0,4699,0,nan
15400,0,residual_calibration,1.04621506,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-28.20436096,9.77926254,0.06020582,0,4599,0,nan
15500,0,residual_calibration,1.16089225,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-29.14696503,12.72564602,0.05855370,0,4499,0,nan
15600,0,residual_calibration,0.47949049,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-24.65439034,21.53724098,0.07263715,0,4399,0,nan
15700,0,residual_calibration,1.24651706,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-28.72964859,2.68281126,0.01382782,0,4299,0,nan
15800,0,residual_calibration,0.82479435,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-27.81652069,19.89897346,0.08116478,0,4199,0,nan
15900,0,residual_calibration,0.41823360,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.00525665,5.33900738,0.03126877,0,4099,0,nan
16000,0,residual_calibration,8.69749928,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-95.04535675,1.17972851,0.00387244,0,3999,0,nan
16100,0,residual_calibration,0.34676704,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-21.32663918,10.08321571,0.02966742,0,3899,0,nan
16200,0,residual_calibration,0.28620544,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-21.51943207,32.08623505,0.10395472,0,3799,0,nan
16300,0,residual_calibration,0.40787530,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-22.52752113,16.36433983,0.07147470,0,3699,0,nan
16400,0,residual_calibration,0.80868107,nan,nan,0,0,nan,0,nan,nan,0,0.00000000,-25.17090988,6.89195108,0.02619738,0,3599,0,nan
