step,bucket_id,bucket_trusted,became_trusted,learning_samples,prediction_error,baseline_error_mean,baseline_error_std,z_score,L_t,W_t,warning,shadow_active,warmup_remaining,regime_change,num_trusted_buckets
14200,113,0,0,16,0.21307402,1.06877478,0.73936568,nan,0.00000000,0.00000000,0,0,0,0,0
14300,496,0,0,22,0.39800774,0.51600348,0.29995576,nan,0.00000000,0.00000000,0,0,0,0,0
14400,289,0,0,13,0.25668474,0.82743929,0.40725573,nan,0.00000000,0.00000000,0,0,0,0,0
14500,228,0,0,79,0.04952175,0.11971039,0.17680822,nan,0.00000000,0.00000000,0,0,0,0,0
14600,432,0,0,31,0.06890283,0.43161222,0.37598987,nan,0.00000000,0.00000000,0,0,0,0,0
14700,29,0,0,4,0.23900681,0.46758621,0.23855659,nan,0.00000000,0.00000000,0,0,0,0,0
14800,149,0,0,8,0.19898252,0.65049428,0.18925304,nan,0.00000000,0.00000000,0,0,0,0,0
14900,69,0,0,48,0.07713194,0.23546577,0.39688746,nan,0.00000000,0.00000000,0,0,0,0,0
15000,50,0,0,6,0.13789328,1.39881935,0.43705923,nan,0.00000000,0.00000000,0,0,0,0,0
15100,130,0,0,21,0.41804829,0.48857197,0.24785366,nan,0.00000000,0.00000000,0,0,0,0,0
15200,12,0,0,22,0.40985785,0.33702621,0.25607433,nan,0.00000000,0.00000000,0,0,0,0,0
15300,177,0,0,17,0.11874244,0.37799938,0.16512658,nan,0.00000000,0.00000000,0,0,0,0,0
15400,305,0,0,53,0.00982301,0.23154440,0.26218443,nan,0.00000000,0.00000000,0,0,0,0,0
15500,124,0,0,10,1.00022738,0.89701346,0.29999561,nan,0.00000000,0.00000000,0,0,0,0,0
15600,0,0,0,41,0.17670794,0.35484144,0.28141489,nan,0.00000000,0.00000000,0,0,0,0,0
15700,379,0,0,14,1.62416594,1.71250766,0.80533563,nan,0.00000000,0.00000000,0,0,0,0,0
15800,418,0,0,21,0.21812817,0.52001697,0.36550550,nan,0.00000000,0.00000000,0,0,0,0,0
15900,434,0,0,30,0.05246404,0.35772374,0.23108003,nan,0.00000000,0.00000000,0,0,0,0,0
16000,307,0,0,29,0.57627347,0.59417744,0.39379207,nan,0.00000000,0.00000000,0,0,0,0,0
16100,324,0,0,25,0.21784554,0.38900910,0.15217227,nan,0.00000000,0.00000000,0,0,0,0,0
16200,422,0,0,16,0.87097399,0.52844438,0.21784648,nan,0.00000000,0.00000000,0,0,0,0,0
16300,275,0,0,9,0.49310326,0.87700710,0.24686122,nan,0.00000000,0.00000000,0,0,0,0,0
16400,398,0,0,17,0.25611609,0.57342212,0.27700711,nan,0.00000000,0.00000000,0,0,0,0,0
16500,496,0,0,33,0.51364036,0.42132106,0.26800854,nan,0.00000000,0.00000000,0,0,0,0,0
16600,373,0,0,28,0.32918894,0.41151119,0.21400006,nan,0.00000000,0.00000000,0,0,0,0,0
16700,207,0,0,40,0.04854587,0.45847820,0.53238377,nan,0.00000000,0.00000000,0,0,0,0,0
16800,232,0,0,8,0.46724625,0.69701089,0.12683881,nan,0.00000000,0.00000000,0,0,0,0,0
