block_index,step,E_k,W_k,mean_familiarity,mean_surprise,mean_gradient_coherence,mean_gradient_novelty,regime_change
215,31599,0.41105228,0.00000000,0.98515361,0.43009078,0.04531738,0.95468262,0
216,31699,0.49880789,0.00000000,0.98438102,0.52559114,0.00720092,0.99279908,0
217,31799,0.50134608,0.00000000,0.98859759,0.51746433,-0.02081531,1.02081531,0
218,31899,0.51897890,0.00000000,0.99122316,0.53187556,0.02242819,0.97757181,0
219,31999,0.51876453,0.00000000,0.97681681,0.56667716,-0.00901005,1.00901005,0
220,32099,0.90414556,0.22544372,0.98981348,0.94703393,0.08140920,0.91859080,0
221,32199,0.52396342,0.07016591,0.98815410,0.53971634,0.00806538,0.99193462,0
222,32299,0.52629827,0.00000000,0.97806194,0.56611779,0.01380976,0.98619024,0
223,32399,0.60329637,0.00000000,0.98882712,0.62191014,0.02051030,0.97948970,0
224,32499,0.54015285,0.00000000,0.98360428,0.56906315,-0.02707338,1.02707338,0
225,32599,0.51963321,0.00000000,0.98618259,0.53700227,0.01343675,0.98656325,0
226,32699,0.53439156,0.00000000,0.99134118,0.55439185,-0.00527379,1.00527379,0
227,32799,0.54802320,0.00000000,0.98123987,0.56856191,0.03053414,0.96946586,0
228,32899,0.55059693,0.00000000,0.98959933,0.56680588,-0.02496988,1.02496988,0
229,32999,0.59885902,0.00000000,0.98258008,0.63139521,0.00221247,0.99778753,0
230,33099,0.59611434,0.00000000,0.97506827,0.63329358,0.06380605,0.93619395,0
231,33199,0.46575673,0.00000000,0.98563956,0.48675239,0.01321475,0.98678525,0
232,33299,0.54989759,0.00000000,0.99503309,0.55960301,-0.01062475,1.01062475,0
233,33399,0.57393223,0.00000000,0.98596315,0.60849924,0.01054643,0.98945357,0
234,33499,0.55435558,0.00000000,0.98306878,0.58352164,-0.02069258,1.02069258,0
235,33599,0.56758220,0.00000000,0.97653521,0.59683153,0.00465240,0.99534760,0
236,33699,0.53220178,0.00000000,0.98688476,0.55028398,0.04483515,0.95516485,0
237,33799,0.48420425,0.00000000,0.99349503,0.49641290,-0.01357295,1.01357295,0
238,33899,0.52243413,0.00000000,0.99249706,0.53311997,0.00127229,0.99872771,0
239,33999,0.52937457,0.00000000,0.99531048,0.54042840,-0.01019898,1.01019898,0
240,34099,0.64086443,0.00340086,0.96079492,0.70319474,0.04777644,0.95222356,0
241,34199,0.56890714,0.00000000,0.98448522,0.59449332,0.03668689,0.96331311,0
242,34299,0.56799869,0.00000000,0.98575518,0.58748802,0.01017591,0.98982409,0
243,34399,0.51295574,0.00000000,0.99169199,0.52922637,-0.00014508,1.00014508,0
244,34499,0.51779509,0.00000000,0.98777756,0.53767464,-0.00485901,1.00485901,0
245,34599,0.53780177,0.00000000,0.99129166,0.55556533,-0.00268327,1.00268327,0
246,34699,0.53617852,0.00000000,0.99429297,0.54417905,0.02386428,0.97613572,0
247,34799,0.49150727,0.00000000,0.99634750,0.49881147,0.02309343,0.97690657,0
248,34899,0.52107713,0.00000000,0.98396089,0.54328159,-0.02785656,1.02785656,0
249,34999,0.60215134,0.00000000,0.99778701,0.60749693,-0.03611067,1.03611067,0
250,35099,0.80495449,0.16381788,0.97145265,0.86263326,0.08974036,0.91025964,0
251,35199,0.72621228,0.20932854,0.99137234,0.74701025,0.10953882,0.89046118,0
252,35299,0.58506560,0.15062480,0.96590013,0.64080948,-0.02033819,1.02033819,0
253,35399,0.45477629,0.00000000,0.97090308,0.48255793,-0.01039544,1.01039544,0
254,35499,0.52280821,0.00000000,0.97357575,0.55003438,-0.02889103,1.02889103,0
255,35599,0.53910589,0.00000000,0.98835611,0.55686996,0.01360858,0.98639142,0
256,35699,0.54909999,0.00000000,0.96504648,0.59332341,-0.00293396,1.00293396,0
257,35799,0.50949677,0.00000000,0.99144187,0.52154155,-0.03185431,1.03185431,0
258,35899,0.54588738,0.00000000,0.99254964,0.55897026,-0.02107284,1.02107284,0
259,35999,0.51792129,0.00000000,0.99179527,0.53237775,0.00831119,0.99168881,0
260,36099,1.30297062,0.63773789,0.98033421,1.35944921,-0.05428781,1.05428781,0
261,36199,1.25894708,1.27983203,0.95179009,1.46772472,0.05333769,0.94666231,0
262,36299,0.71698873,1.34721218,0.96298594,0.81279562,0.05310049,0.94689951,0
263,36399,0.29749764,0.95944761,0.99522364,0.30311037,0.04414831,0.95585169,0
264,36499,0.34691992,0.61835462,0.99660845,0.34983221,0.00657499,0.99342501,0
265,36599,0.40134502,0.32955198,0.99760056,0.40398480,0.03591983,0.96408017,0
266,36699,0.41844525,0.05574410,0.99928069,0.41938269,-0.02090406,1.02090406,0
267,36799,0.47967025,0.00000000,0.99502609,0.48598741,0.00627362,0.99372638,0
268,36899,0.46220321,0.00000000,0.99401316,0.46864135,0.01115812,0.98884188,0
269,36999,0.52336235,0.00000000,0.99464740,0.53488799,-0.02901378,1.02901378,0
270,37099,0.88580675,0.21202725,0.99164574,0.89824777,0.16202888,0.83797112,0
271,37199,0.76235485,0.32458142,0.96898447,0.83579113,0.01155355,0.98844645,0
272,37299,0.46099412,0.09595066,0.99797051,0.46479672,0.05458490,0.94541510,0
273,37399,0.46234853,0.00000000,0.99720229,0.46493669,0.01922534,0.98077466,0
274,37499,0.51711433,0.00000000,0.99498150,0.52332545,0.00101768,0.99898232,0
275,37599,0.51120976,0.00000000,0.99484692,0.52257690,0.02312400,0.97687600,0
276,37699,0.52008655,0.00000000,0.99549869,0.52718868,-0.00261538,1.00261538,0
277,37799,0.50908704,0.00000000,0.98706218,0.52625090,0.01417409,0.98582591,0
278,37899,0.50447330,0.00000000,0.99735815,0.50874975,0.03205229,0.96794771,0
279,37999,0.55458008,0.00000000,0.98474654,0.57425131,-0.00236657,1.00236657,0
280,38099,1.18547760,0.56169114,0.94991561,1.29201318,0.06415099,0.93584901,0
281,38199,0.48671073,0.36994461,0.99503301,0.49212351,-0.00650768,1.00650768,0
282,38299,0.47975317,0.17473905,0.99343584,0.48566691,-0.00864962,1.00864962,0
283,38399,0.46367537,0.00000000,0.99906676,0.46532431,0.01069830,0.98930170,0
284,38499,0.47519745,0.00000000,0.99783537,0.47864904,0.01036338,0.98963662,0
285,38599,0.46501076,0.00000000,0.99937781,0.46578580,0.01377768,0.98622232,0
286,38699,0.51735663,0.00000000,0.99930292,0.51855089,-0.00462285,1.00462285,0
287,38799,0.55795946,0.00000000,0.99842852,0.56091825,0.01189155,0.98810845,0
288,38899,0.55108158,0.00000000,0.99956136,0.55189493,0.00488374,0.99511626,0
289,38999,0.54339186,0.00000000,0.99585973,0.54985466,-0.00471441,1.00471441,0
290,39099,0.79891681,0.13216377,0.99202053,0.82480738,0.04245791,0.95754209,0
291,39199,0.55121505,0.01454991,0.99132004,0.56287418,0.02849350,0.97150650,0
292,39299,0.53468611,0.00000000,0.99073268,0.54327422,-0.05277636,1.05277636,0
293,39399,0.54960497,0.00000000,0.99303797,0.55927213,-0.03366199,1.03366199,0
294,39499,0.55470476,0.00000000,0.99383765,0.56051675,0.01948267,0.98051733,0
295,39599,0.46658840,0.00000000,0.99937496,0.46756942,-0.02386204,1.02386204,0
296,39699,0.53879391,0.00000000,0.99767286,0.54486626,-0.00323101,1.00323101,0
297,39799,0.61235343,0.00000000,0.99335205,0.62967213,0.00111560,0.99888440,0
298,39899,0.62319184,0.00000000,0.99171917,0.63929248,0.02325217,0.97674783,0
299,39999,0.50185197,0.00000000,0.99319049,0.51814937,-0.01310628,1.01310628,0
300,40099,0.79396567,0.13605954,0.98255972,0.82849689,0.04787865,0.95212135,0
301,40199,0.48288392,0.00000000,0.99660834,0.48814753,0.00956124,0.99043876,0
302,40299,0.62296010,0.00000000,0.99485885,0.63103941,-0.01775718,1.01775718,0
303,40399,0.58790377,0.00000000,0.98375205,0.61016039,0.00837078,0.99162922,0
304,40499,0.56879174,0.00000000,0.98867357,0.58457420,0.00481980,0.99518020,0
305,40599,0.49732537,0.00000000,0.99718196,0.50414898,0.02195728,0.97804272,0
306,40699,0.56959178,0.00000000,0.99165403,0.58082507,0.02583500,0.97416500,0
307,40799,0.60429999,0.00000000,0.99028637,0.62617255,-0.02840122,1.02840122,0
308,40899,0.52202126,0.00000000,0.98169955,0.54007320,-0.02990501,1.02990501,0
309,40999,0.50420979,0.00000000,0.99540994,0.51236582,0.02934700,0.97065300,0
310,41099,0.77081040,0.13452250,0.96683344,0.84669425,0.08530057,0.91469943,0
311,41199,0.53377687,0.00000000,0.99925340,0.53523003,0.00438976,0.99561024,0
312,41299,0.54643973,0.00000000,0.99003880,0.56249248,-0.00349822,1.00349822,0
313,41399,0.56301346,0.00000000,0.98652892,0.57206590,0.00843891,0.99156109,0
314,41499,0.46415088,0.00000000,0.99381126,0.47442073,-0.00571633,1.00571633,0
315,41599,0.50126771,0.00000000,0.99497258,0.50850164,-0.02088692,1.02088692,0
