step,bucket_id,prediction_error,trust_distance,baseline_error_mean,baseline_error_std,z_score,L_t
22357,3,0.06713406,1.13225865,0.00878194,0.00100000,58.35211577,5.00000000
22361,0,0.16781481,0.82681496,0.00957924,0.00100000,158.23556314,5.00000000
22365,0,0.03541906,0.98731217,0.00957924,0.00100000,25.83981725,5.00000000
22375,25,0.06117608,0.98195709,0.00979118,0.00100000,51.38490015,5.00000000
22415,25,0.02718946,1.08991918,0.00979118,0.00100000,17.39827667,5.00000000
22433,25,0.07180866,0.91023154,0.00979118,0.00100000,62.01747786,5.00000000
22440,25,0.00463944,1.07480017,0.00953360,0.00112280,-5.15174046,-5.00000000
22442,25,0.11790249,0.63185818,0.00953360,0.00112280,96.51701397,5.00000000
22454,25,0.02600064,1.06756714,0.00953360,0.00112280,14.66611218,5.00000000
22488,40,0.01818212,0.90034149,0.00519225,0.00100000,12.98987158,5.00000000
22514,40,0.03568766,0.90932637,0.00519225,0.00100000,30.49540824,5.00000000
22515,40,0.04077711,0.98139065,0.00519225,0.00100000,35.58486050,5.00000000
22517,40,0.05241698,0.71845347,0.00519225,0.00100000,47.22472892,5.00000000
22608,16,0.28334284,1.29383160,0.00572539,0.00100000,277.61745001,5.00000000
22626,16,0.18847946,1.15280466,0.00572539,0.00100000,182.75406849,5.00000000
22632,45,0.04181623,1.03617255,0.00822461,0.00100000,33.59162016,5.00000000
22633,45,0.01021930,1.34333301,0.00832435,0.00100000,1.99469218,-1.00530782
22649,45,0.11399974,1.17698852,0.00832435,0.00100000,105.67539546,5.00000000
22706,9,0.25867756,1.28405052,0.00548478,0.00100000,253.19277999,5.00000000
22712,9,0.15250696,1.09361535,0.00548478,0.00100000,147.02217807,5.00000000
22722,20,0.02300511,1.03327166,0.00805372,0.00100000,14.95138834,5.00000000
22734,9,0.07746636,0.94006999,0.00548478,0.00100000,71.98158125,5.00000000
22753,9,0.09008053,0.98709861,0.00744752,0.00100000,82.63301455,5.00000000
22756,9,0.12717591,1.15755768,0.00744752,0.00100000,119.72838984,5.00000000
22761,9,0.27146859,1.13635428,0.00744752,0.00100000,264.02106965,5.00000000
22782,9,0.03056355,1.08243959,0.00744752,0.00100000,23.11603150,5.00000000
22916,37,0.26793215,0.99276126,0.00326168,0.00100000,264.67047100,5.00000000
22933,45,0.02265444,0.90969440,0.00977713,0.00100000,12.87731628,5.00000000
22937,45,0.05898372,0.93136855,0.00977713,0.00100000,49.20659136,5.00000000
22940,37,0.19127272,1.10655918,0.00326168,0.00100000,188.01104052,5.00000000
22983,45,0.01041555,1.22563295,0.00653388,0.00100000,3.88167236,0.88167236
22985,45,0.09778995,1.13153310,0.00653388,0.00100000,91.25607377,5.00000000
23107,13,0.02504587,1.08409572,0.00876063,0.00100000,16.28523909,5.00000000
23109,13,0.10072363,1.14024311,0.00876063,0.00100000,91.96299333,5.00000000
23169,13,0.01468177,0.74282200,0.00367675,0.00100000,11.00501881,5.00000000
23172,13,0.02604324,0.85691481,0.00367675,0.00100000,22.36649503,5.00000000
23174,13,0.01017252,0.89109842,0.00367675,0.00100000,6.49577596,3.49577596
23193,13,0.04764677,0.92299903,0.00367675,0.00100000,43.97002389,5.00000000
23232,31,0.02606774,0.95810724,0.00437053,0.00100000,21.69720936,5.00000000
23238,31,0.01734821,1.07281933,0.00437053,0.00100000,12.97768650,5.00000000
23255,13,0.01866758,0.84646175,0.00942221,0.00100000,9.24537373,5.00000000
23273,31,0.04781456,1.00255469,0.00437053,0.00100000,43.44403845,5.00000000
23352,13,0.15307549,1.09044756,0.00969257,0.00100000,143.38291440,5.00000000
23355,13,0.05115107,1.01132948,0.00969257,0.00100000,41.45849126,5.00000000
23364,13,0.00920483,1.05758630,0.00966819,0.00100000,-0.48773901,-3.48773901
23369,13,0.05417046,1.05221566,0.00966819,0.00100000,44.50227106,5.00000000
23383,13,0.12837816,1.13288987,0.00966819,0.00100000,118.70997288,5.00000000
23430,13,0.02733505,0.71830338,0.00866347,0.00100000,18.67158209,5.00000000
23434,13,0.03875031,0.90785411,0.00866347,0.00100000,30.08683888,5.00000000
23436,13,0.02260793,0.70741855,0.00866347,0.00100000,13.94445442,5.00000000
23441,13,0.06626216,0.94719081,0.00866347,0.00100000,57.59868297,5.00000000
