step,detector_epoch,fast_slow_gap,fast_wins,state_action_pseudo_count,state_action_familiarity_weight,familiarity_ready,familiarity_warmup_remaining,block_completed,block_valid,block_win_rate,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,initial_warmup_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
7400,0,0.00000000,0,0,0.00000000,0,2599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2599,-24.98063850,-24.98063850,49.43230438,49.43230438,0.37078884,0.37078884,30.69495630
7500,0,0.00000000,0,0,0.00000000,0,2499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2499,-27.12062073,-27.12062073,40.95292282,40.95292282,0.22420041,0.22420041,27.50242043
7600,0,0.00000000,0,0,0.00000000,0,2399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2399,-26.78371048,-26.78371048,42.32167435,42.32167435,0.27560821,0.27560821,27.57851563
7700,0,0.00000000,0,0,0.00000000,0,2299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2299,-26.19043350,-26.19043350,28.08983612,28.08983612,0.18156508,0.18156508,nan
7800,0,0.00000000,0,0,0.00000000,0,2199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2199,-26.63216019,-26.63216019,30.94036865,30.94036865,0.26106676,0.26106676,26.10790539
7900,0,0.00000000,0,0,0.00000000,0,2099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,2099,-24.98203659,-24.98203659,32.60748291,32.60748291,0.24203512,0.24203512,25.39768696
8000,0,0.00000000,0,0,0.00000000,0,1999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1999,-78.81710052,-78.81710052,1.16629612,1.16629612,0.00511690,0.00511690,81.85464732
8100,0,0.00000000,0,0,0.00000000,0,1899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1899,-27.70504761,-27.70504761,16.58904076,16.58904076,0.10035878,0.10035878,27.96511698
8200,0,0.00000000,0,0,0.00000000,0,1799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1799,-26.91954994,-26.91954994,49.42758942,49.42758942,0.40910494,0.40910494,39.41199970
8300,0,0.00000000,0,0,0.00000000,0,1699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1699,-23.14592361,-23.14592361,14.46668339,14.46668339,0.13651884,0.13651884,23.17411677
8400,0,0.00000000,0,0,0.00000000,0,1599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1599,-25.41936684,-25.41936684,26.14114761,26.14114761,0.17989136,0.17989136,25.11076689
8500,0,0.00000000,0,0,0.00000000,0,1499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1499,-26.96821022,-26.96821022,44.17470932,44.17470932,0.27397788,0.27397788,29.34302266
8600,0,0.00000000,0,0,0.00000000,0,1399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1399,-27.52467537,-27.52467537,14.14432907,14.14432907,0.12089065,0.12089065,27.75058460
8700,0,0.00000000,0,0,0.00000000,0,1299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1299,-28.27189636,-28.27189636,8.05917358,8.05917358,0.07951284,0.07951284,29.14473391
8800,0,0.00000000,0,0,0.00000000,0,1199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1199,-23.34034157,-23.34034157,17.82316589,17.82316589,0.15829252,0.15829252,23.34167226
8900,0,0.00000000,0,0,0.00000000,0,1099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,1099,-24.61216354,-24.61216354,44.49304962,44.49304962,0.18031546,0.18031546,26.65405273
9000,0,0.00000000,0,0,0.00000000,0,999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,999,-45.68959045,-45.68959045,1.10393262,1.10393262,0.00227395,0.00227395,46.28650761
9100,0,0.00000000,0,0,0.00000000,0,899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,899,-26.53733063,-26.53733063,28.96020889,28.96020889,0.14182836,0.14182836,27.60231733
9200,0,0.00000000,0,0,0.00000000,0,799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,799,-29.60013580,-29.60013580,6.83091784,6.83091784,0.06500912,0.06500912,29.22013760
9300,0,0.00000000,0,0,0.00000000,0,699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,699,-37.59708786,-37.59708786,29.19359016,29.19359016,0.19142836,0.19142836,40.77696419
9400,0,0.00000000,0,0,0.00000000,0,599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,599,-26.60787964,-26.60787964,24.17299461,24.17299461,0.12411255,0.12411255,26.44521618
9500,0,0.00000000,0,0,0.00000000,0,499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,499,-24.68909836,-24.68909836,40.58557892,40.58557892,0.16883086,0.16883086,25.18820190
9600,0,0.00000000,0,0,0.00000000,0,399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,399,-25.02446365,-25.02446365,44.55040741,44.55040741,0.20624103,0.20624103,25.35397301
9700,0,0.00000000,0,0,0.00000000,0,299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,299,-25.00125504,-25.00125504,49.56073380,49.56073380,0.23398995,0.23398995,26.31786601
9800,0,0.00000000,0,0,0.00000000,0,199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,199,-28.87676620,-28.87676620,48.47576141,48.47576141,0.24857871,0.24857871,29.80151240
9900,0,0.00000000,0,0,0.00000000,0,99,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,99,-27.23139572,-27.23139572,26.43845558,26.43845558,0.18749796,0.18749796,27.41694832
10000,0,0.00000000,0,0,0.00000000,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-42.52066803,-42.52066803,1.12397170,1.12397170,0.00292715,0.00292715,43.86924108
10099,0,0.81012535,1,0,0.00000000,1,0,1,0,1.00000000,0.01495434,1.49543356,nan,nan,nan,0,0,0,0,0,0,20,0,-25.62376595,-26.43389130,12.55734348,12.16023636,0.09553292,0.09548894,25.57380803
10100,0,0.92723465,1,0,0.00000000,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-29.03028107,-29.95751572,16.06804466,15.43319321,0.11817478,0.12562779,29.74506505
10199,0,1.44535828,1,1,0.09516258,1,0,1,0,1.00000000,0.05107159,5.10715917,nan,nan,nan,0,0,0,0,0,0,20,0,-27.16053009,-28.60588837,49.37186813,49.24380875,0.33385426,0.34473526,32.51465321
10200,0,0.83489227,1,1,0.09516258,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-26.27282333,-27.10771561,14.94086742,14.42028999,0.11231855,0.11447895,26.51856709
10299,0,1.01744843,1,1,0.09516258,1,0,1,0,1.00000000,0.08524847,8.52484678,nan,nan,nan,0,0,0,0,0,0,20,0,-29.61098480,-30.62843323,14.00611401,13.22593880,0.10945341,0.11040401,29.52472591
10300,0,0.37083817,1,3,0.25918178,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-26.47764206,-26.84848022,27.60127831,25.65985870,0.10047106,0.10513794,26.76312129
10399,0,-0.05585480,0,3,0.25918178,1,0,1,0,0.21164237,0.14397066,14.39706634,nan,nan,nan,0,0,0,0,0,0,20,0,-27.75867844,-27.70282364,49.64985657,49.49337769,0.25473955,0.26838785,30.56799698
10400,0,1.02308083,1,0,0.00000000,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-29.00399208,-30.02707291,49.17591095,48.78020096,0.24976839,0.25564754,34.38914967
10499,0,-0.72180939,0,3,0.25918178,1,0,1,0,0.34113466,0.16348570,16.34856975,nan,nan,nan,0,0,0,0,0,0,20,0,-24.71373367,-23.99192429,44.61241150,43.18360901,0.15474173,0.16495699,28.91630554
10500,0,0.01467514,1,2,0.18126925,1,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,0,-32.14757538,-32.16225052,7.94805908,7.48335266,0.04619874,0.04768456,32.83535461
10599,0,0.61049271,1,7,0.50341470,1,0,1,0,0.55489606,0.20197086,20.19708589,nan,nan,nan,0,0,0,0,0,0,20,0,-35.99431229,-36.60480499,8.35769653,7.94513941,0.07491922,0.07700327,36.90323257
