step,e_P,e_R,e_P_bar,e_R_bar,D_t,c_t,regime_change
298000,0.18251526,0.28142321,-0.22423579,1.51893646,1.15358399,0.00583967,0
299000,0.13857780,0.14677545,-0.52448013,0.40404444,0.08162596,0.00352523,0
300000,0.27612206,0.21907450,0.42160099,1.00733574,0.59623635,0.00023631,0
301000,0.40464175,0.22511248,1.30716537,1.06044733,1.41661492,0.00301054,0
302000,0.34698963,0.08298544,0.91293094,-0.12113742,0.41672145,0.01101983,0
303000,0.17908733,0.10964781,-0.24099823,0.10281242,0.00528520,0.00240981,0
304000,0.13770756,0.10529997,-0.52470751,0.06825012,0.00232904,0.00000068,0
305000,0.13968773,0.05442775,-0.50973831,-0.35540164,0.00000000,0.00062942,0
306000,0.12006837,0.03933857,-0.64379094,-0.48042388,0.00000000,0.00006885,0
307000,0.09533680,0.07743068,-0.81332305,-0.16005774,0.00000000,0.00498468,0
308000,0.11235248,0.09409052,-0.69459200,-0.01872080,0.00000000,0.00029496,0
309000,0.12080689,0.03916189,-0.63509851,-0.47840110,0.00000000,0.00065959,0
310000,0.36393890,0.10451446,1.04716970,0.07166612,0.55085021,0.31579212,0
311000,0.14732504,0.03444318,-0.44997162,-0.51637018,0.00000000,0.00012059,0
312000,0.20171762,0.06397090,-0.07209990,-0.26692194,0.00000000,0.00040373,0
313000,0.11464319,0.11351243,-0.67397295,0.15226245,0.01159193,0.00088782,0
314000,0.11996175,0.02811364,-0.63579496,-0.56697402,0.00000000,0.00029327,0
315000,0.21563503,0.03759671,0.02938469,-0.48576415,0.00043173,0.00076944,0
316000,0.11936632,0.03304272,-0.63744657,-0.52315315,0.00000000,0.00110490,0
317000,0.10654532,0.05430724,-0.72538998,-0.34207035,0.00000000,0.00071117,0
318000,0.10908984,0.03068295,-0.70650279,-0.54111667,0.00000000,0.00003284,0
319000,0.09466405,0.09237423,-0.80604398,-0.01644944,0.00000000,0.00000479,0
320000,0.26732025,0.19138582,0.39662950,0.82618935,0.41995190,0.17731706,0
321000,0.16680554,0.02708135,-0.30192951,-0.56900117,0.00000000,0.00001276,0
322000,0.11146365,0.01267659,-0.68690171,-0.69083625,0.00000000,0.03567344,0
323000,0.26771757,0.06915829,0.40444743,-0.20861758,0.08178886,0.00004287,0
324000,0.09391667,0.05988393,-0.80741609,-0.28643686,0.00000000,0.00000041,0
325000,0.11455832,0.01311757,-0.66219459,-0.68470393,0.00000000,0.00000139,0
326000,0.10045543,0.01707216,-0.75962734,-0.65005956,0.00000000,0.00784130,0
327000,0.07246131,0.03011176,-0.95447155,-0.53757905,0.00000000,0.00001063,0
