step,fast_slow_gap,fast_wins,bernoulli_llr,familiarity_weight,weighted_bernoulli_llr,cusum_W,detector_active,regime_change,epistemic_uncertainty,epistemic_ref,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,initial_warmup_remaining,post_change_warmup_remaining,predictor_nll
8800,0.00000000,0,0.00000000,0.34222259,0.00000000,0.00000000,0,0,0.10730892,0.03672354,-21.26478195,-21.26478195,19.27448273,19.27448273,0.10730892,0.10730892,1199,0,21.34543419
8900,0.00000000,0,0.00000000,0.36947022,0.00000000,0.00000000,0,0,0.10037415,0.03708526,-22.56627083,-22.56627083,41.46247864,41.46247864,0.10037415,0.10037415,1099,0,23.92621422
9000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00202781,0.03744043,-43.17250061,-43.17250061,1.10229754,1.10229754,0.00202781,0.00202781,999,0,43.82784271
9100,0.00000000,0,0.00000000,0.44346591,0.00000000,0.00000000,0,0,0.08488970,0.03764569,-23.81388283,-23.81388283,25.61985016,25.61985016,0.08488970,0.08488970,899,0,24.36259222
9200,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.03549907,0.03784255,-26.29848862,-26.29848862,7.36917686,7.36917686,0.03549907,0.03549907,799,0,25.97150326
9300,0.00000000,0,0.00000000,0.27934748,0.00000000,0.00000000,0,0,0.13621777,0.03805209,-35.91971207,-35.91971207,25.35589027,25.35589027,0.13621777,0.13621777,699,0,38.16194248
9400,0.00000000,0,0.00000000,0.45404859,0.00000000,0.00000000,0,0,0.08448435,0.03836000,-24.87935066,-24.87935066,24.88264656,24.88264656,0.08448435,0.08448435,599,0,24.97634983
9500,0.00000000,0,0.00000000,0.34028585,0.00000000,0.00000000,0,0,0.11374584,0.03870610,-22.70859718,-22.70859718,40.05534363,40.05534363,0.11374584,0.11374584,499,0,23.33099747
9600,0.00000000,0,0.00000000,0.32317473,0.00000000,0.00000000,0,0,0.12093119,0.03908190,-22.37786102,-22.37786102,42.77833939,42.77833939,0.12093119,0.12093119,399,0,22.52577782
9700,0.00000000,0,0.00000000,0.32887863,0.00000000,0.00000000,0,0,0.11985564,0.03941796,-23.61784172,-23.61784172,48.78121567,48.78121567,0.11985564,0.11985564,299,0,27.67801793
9800,0.00000000,0,0.00000000,0.26072342,0.00000000,0.00000000,0,0,0.15250403,0.03976137,-27.44944572,-27.44944572,47.85256577,47.85256577,0.15250403,0.15250403,199,0,28.95239639
